iter	Passed	Remaining
0	909	909060
1	914	456287
2	920	305878
3	925	230349
4	929	184994
5	931	154387
6	936	132855
7	938	116318
8	939	103490
9	941	93209
10	943	84836
11	945	77808
12	946	71853
13	947	66757
14	949	62340
15	950	58455
16	951	55017
17	952	51960
18	953	49226
19	954	46755
20	955	44524
21	955	42493
22	956	40641
23	959	39000
24	959	37437
25	960	35991
26	961	34651
27	962	33408
28	963	32250
29	964	31174
30	964	30163
31	965	29215
32	966	28326
33	967	27487
34	968	26712
35	969	25967
36	970	25261
37	971	24591
38	972	23956
39	973	23353
40	974	22782
41	974	22237
42	975	21715
43	976	21217
44	977	20744
45	978	20298
46	979	19862
47	980	19446
48	981	19045
49	982	18663
50	983	18295
51	984	17940
52	984	17597
53	985	17268
54	986	16951
55	987	16644
56	988	16349
57	989	16067
58	990	15791
59	990	15524
60	991	15266
61	992	15016
62	993	14776
63	994	14546
64	995	14320
65	996	14099
66	997	13886
67	997	13674
68	998	13473
69	999	13277
70	1000	13087
71	1001	12902
72	1001	12722
73	1002	12547
74	1003	12378
75	1004	12212
76	1005	12050
77	1006	11892
78	1006	11739
79	1007	11589
80	1008	11443
81	1009	11300
82	1010	11161
83	1011	11027
84	1011	10892
85	1012	10763
86	1013	10633
87	1014	10510
88	1015	10391
89	1016	10272
90	1016	10157
91	1017	10043
92	1018	9932
93	1020	9834
94	1021	9732
95	1023	9639
96	1025	9542
97	1026	9445
98	1032	9392
99	1033	9300
100	1034	9207
101	1035	9112
102	1036	9022
103	1037	8934
104	1037	8847
105	1038	8761
106	1040	8681
107	1041	8599
108	1042	8518
109	1042	8438
110	1046	8382
111	1047	8306
112	1048	8230
113	1049	8154
114	1050	8080
115	1050	8007
116	1051	7935
117	1052	7865
118	1052	7795
119	1053	7727
120	1054	7661
121	1059	7624
122	1060	7558
123	1060	7494
124	1061	7431
125	1062	7370
126	1063	7311
127	1064	7249
128	1065	7190
129	1065	7132
130	1066	7075
131	1067	7019
132	1070	6978
133	1071	6923
134	1072	6869
135	1072	6816
136	1073	6764
137	1074	6712
138	1075	6661
139	1076	6611
140	1077	6562
141	1078	6515
142	1083	6493
143	1084	6448
144	1085	6402
145	1086	6356
146	1087	6311
147	1088	6268
148	1089	6224
149	1090	6180
150	1091	6137
151	1092	6096
152	1093	6054
153	1094	6012
154	1095	5971
155	1096	5933
156	1097	5894
157	1098	5854
158	1099	5815
159	1104	5796
160	1105	5758
161	1105	5720
162	1106	5683
163	1107	5646
164	1108	5610
165	1109	5574
166	1110	5538
167	1111	5503
168	1111	5467
169	1116	5452
170	1117	5419
171	1118	5385
172	1119	5352
173	1120	5318
174	1121	5287
175	1122	5255
176	1123	5223
177	1124	5191
178	1125	5162
179	1128	5139
180	1128	5107
181	1129	5076
182	1130	5046
183	1131	5016
184	1132	4986
185	1132	4957
186	1133	4928
187	1134	4899
188	1135	4871
189	1140	4861
190	1141	4836
191	1143	4812
192	1144	4786
193	1145	4759
194	1147	4735
195	1148	4709
196	1148	4683
197	1153	4671
198	1154	4646
199	1155	4620
200	1156	4595
201	1156	4570
202	1158	4547
203	1159	4523
204	1160	4498
205	1160	4474
206	1166	4470
207	1168	4448
208	1169	4425
209	1170	4403
210	1172	4383
211	1173	4361
212	1174	4339
213	1178	4328
214	1179	4308
215	1180	4286
216	1181	4264
217	1182	4243
218	1184	4223
219	1185	4202
220	1186	4181
221	1187	4159
222	1188	4140
223	1189	4120
224	1190	4099
225	1191	4079
226	1191	4058
227	1193	4040
228	1194	4021
229	1195	4001
230	1199	3992
231	1200	3974
232	1201	3955
233	1202	3936
234	1203	3917
235	1204	3898
236	1205	3880
237	1206	3863
238	1207	3844
239	1213	3841
240	1213	3822
241	1214	3804
242	1215	3786
243	1216	3769
244	1217	3753
245	1218	3736
246	1219	3719
247	1220	3702
248	1221	3685
249	1222	3668
250	1223	3651
